4.000000000000000000e+00,1.700000000000000000e+01,1.200000000000000000e+01,7.000000000000000000e+00,7.137500000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000000e+00,3.500000000000000000e+01,1.200000000000000000e+01,7.000000000000000000e+00,7.137500000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
4.000000000000000000e+00,3.500000000000000000e+01,1.200000000000000000e+01,7.000000000000000000e+00,7.137500000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
4.000000000000000000e+00,3.500000000000000000e+01,1.200000000000000000e+01,7.000000000000000000e+00,7.137500000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
4.000000000000000000e+00,3.500000000000000000e+01,1.200000000000000000e+01,7.000000000000000000e+00,7.137500000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
4.000000000000000000e+00,3.500000000000000000e+01,1.200000000000000000e+01,7.000000000000000000e+00,7.137500000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
4.000000000000000000e+00,3.500000000000000000e+01,1.200000000000000000e+01,7.000000000000000000e+00,7.137500000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
4.000000000000000000e+00,3.500000000000000000e+01,1.200000000000000000e+01,1.000000000000000000e+01,7.137500000000000000e+01,4.000000000000000000e+01,1.000000000000000000e+02,3.331250000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
4.000000000000000000e+00,3.500000000000000000e+01,1.200000000000000000e+01,1.000000000000000000e+01,7.137500000000000000e+01,4.000000000000000000e+01,1.000000000000000000e+02,3.331250000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.200000000000000000e+01,1.000000000000000000e+01,7.137500000000000000e+01,4.000000000000000000e+01,1.000000000000000000e+02,3.331250000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.300000000000000000e+01,1.000000000000000000e+01,7.137500000000000000e+01,4.000000000000000000e+01,1.000000000000000000e+02,3.331250000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000000e+01,1.000000000000000000e+01,7.137500000000000000e+01,4.000000000000000000e+01,1.000000000000000000e+02,3.331250000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,1.300000000000000000e+01,1.000000000000000000e+01,7.137500000000000000e+01,4.000000000000000000e+01,1.000000000000000000e+02,3.331250000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00
5.000000000000000000e+00,2.300000000000000000e+01,1.300000000000000000e+01,1.000000000000000000e+01,7.137500000000000000e+01,3.640625000000000000e+01,1.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,6.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00
5.000000000000000000e+00,4.200000000000000000e+01,1.300000000000000000e+01,1.000000000000000000e+01,7.137500000000000000e+01,3.640625000000000000e+01,1.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,6.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00
5.000000000000000000e+00,5.100000000000000000e+01,1.300000000000000000e+01,1.200000000000000000e+01,7.137500000000000000e+01,4.168750000000000000e+01,1.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,6.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00
5.000000000000000000e+00,5.100000000000000000e+01,1.300000000000000000e+01,1.200000000000000000e+01,7.137500000000000000e+01,4.168750000000000000e+01,1.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,6.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00
6.000000000000000000e+00,1.800000000000000000e+01,1.300000000000000000e+01,1.200000000000000000e+01,7.137500000000000000e+01,4.168750000000000000e+01,1.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,6.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00
6.000000000000000000e+00,1.800000000000000000e+01,1.300000000000000000e+01,1.200000000000000000e+01,7.137500000000000000e+01,4.168750000000000000e+01,1.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,6.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00
6.000000000000000000e+00,1.800000000000000000e+01,1.300000000000000000e+01,1.400000000000000000e+01,7.137500000000000000e+01,4.168750000000000000e+01,1.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,6.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00
6.000000000000000000e+00,1.800000000000000000e+01,1.300000000000000000e+01,1.400000000000000000e+01,6.250000000000000000e+01,4.168750000000000000e+01,1.000000000000000000e+02,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,7.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00
6.000000000000000000e+00,3.900000000000000000e+01,1.300000000000000000e+01,1.400000000000000000e+01,5.559375000000000000e+01,4.168750000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,7.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00
6.000000000000000000e+00,3.900000000000000000e+01,1.300000000000000000e+01,1.400000000000000000e+01,5.559375000000000000e+01,4.168750000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,7.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00
6.000000000000000000e+00,3.900000000000000000e+01,1.300000000000000000e+01,1.400000000000000000e+01,5.559375000000000000e+01,4.168750000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,7.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00
6.000000000000000000e+00,5.800000000000000000e+01,1.300000000000000000e+01,1.400000000000000000e+01,5.000000000000000000e+01,3.850000000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,9.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00
7.000000000000000000e+00,2.000000000000000000e+00,1.300000000000000000e+01,1.400000000000000000e+01,5.000000000000000000e+01,3.850000000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,9.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00
7.000000000000000000e+00,2.400000000000000000e+01,1.300000000000000000e+01,1.400000000000000000e+01,5.000000000000000000e+01,3.850000000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,9.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
7.000000000000000000e+00,2.400000000000000000e+01,1.300000000000000000e+01,1.400000000000000000e+01,5.000000000000000000e+01,3.850000000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,9.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
7.000000000000000000e+00,3.600000000000000000e+01,1.300000000000000000e+01,1.600000000000000000e+01,4.550000000000000000e+01,4.290625000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
7.000000000000000000e+00,2.000000000000000000e+00,1.300000000000000000e+01,1.600000000000000000e+01,4.550000000000000000e+01,4.290625000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
8.000000000000000000e+00,3.000000000000000000e+00,1.300000000000000000e+01,1.600000000000000000e+01,4.550000000000000000e+01,4.290625000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
8.000000000000000000e+00,3.000000000000000000e+00,1.300000000000000000e+01,1.600000000000000000e+01,4.550000000000000000e+01,4.290625000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
8.000000000000000000e+00,3.000000000000000000e+00,1.300000000000000000e+01,1.600000000000000000e+01,4.550000000000000000e+01,4.290625000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
8.000000000000000000e+00,3.000000000000000000e+00,1.300000000000000000e+01,1.600000000000000000e+01,4.550000000000000000e+01,4.290625000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
8.000000000000000000e+00,3.000000000000000000e+00,1.300000000000000000e+01,1.600000000000000000e+01,4.550000000000000000e+01,4.290625000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
8.000000000000000000e+00,3.000000000000000000e+00,1.300000000000000000e+01,1.600000000000000000e+01,4.550000000000000000e+01,4.290625000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
8.000000000000000000e+00,3.000000000000000000e+00,1.300000000000000000e+01,1.600000000000000000e+01,4.550000000000000000e+01,4.290625000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
8.000000000000000000e+00,3.000000000000000000e+00,1.300000000000000000e+01,1.600000000000000000e+01,4.550000000000000000e+01,4.290625000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
8.000000000000000000e+00,4.000000000000000000e+00,1.300000000000000000e+01,1.600000000000000000e+01,4.550000000000000000e+01,4.290625000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
8.000000000000000000e+00,4.000000000000000000e+00,1.300000000000000000e+01,1.600000000000000000e+01,4.550000000000000000e+01,4.290625000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
8.000000000000000000e+00,2.900000000000000000e+01,1.300000000000000000e+01,1.800000000000000000e+01,4.550000000000000000e+01,4.668750000000000000e+01,6.668750000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
8.000000000000000000e+00,5.300000000000000000e+01,1.500000000000000000e+01,2.100000000000000000e+01,5.000000000000000000e+01,5.000000000000000000e+01,6.668750000000000000e+01,4.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
9.000000000000000000e+00,2.500000000000000000e+01,1.700000000000000000e+01,2.300000000000000000e+01,5.381250000000000000e+01,5.290625000000000000e+01,6.668750000000000000e+01,4.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
